Date,"(7 day moving average) Case increases(per 100,000)"
2020-06-13,7.096575912065661
2020-06-12,6.899519109086306
2020-06-11,7.041255378385218
2020-06-10,6.690530426293523
2020-06-09,6.573019488737027
2020-06-08,6.62147015222186
2020-06-07,6.59109809451495
2020-06-06,6.91976714755758
2020-06-05,6.87529377734389
2020-06-04,6.5480710127634945
2020-06-03,6.763929565751888
2020-06-02,6.71692519072929
2020-06-01,6.67028238782225
2020-05-31,6.462378421376143
2020-05-30,5.874462161478107
2020-05-29,5.583396608453556
2020-05-28,5.604367791155945
2020-05-27,5.395740680478721
2020-05-26,5.401164262212098
2020-05-25,5.108290848609755
2020-05-24,5.015366814911234
2020-05-23,5.003434935097805
2020-05-22,4.8841161369635175
2020-05-21,4.712369382073254
2020-05-20,4.670065444552916
2020-05-19,4.488194670427016
2020-05-18,4.5163972954405756
