Date,"(7 day moving average) Case increases(per 100,000)"
2020-12-14,77.17968157695223
2020-12-13,76.47207480414455
2020-12-12,72.53330445142424
2020-12-11,73.93046680385575
2020-12-10,77.27715802014514
2020-12-09,74.55864832665439
2020-12-08,76.55150005415359
2020-12-07,74.5297664175602
2020-12-06,75.60200729268205
2020-12-05,70.11444456478573
2020-12-04,76.92696487237806
2020-12-03,71.1433625762663
2020-12-02,64.98068522329326
2020-12-01,68.13242355319686
2020-11-30,71.73905195133398
2020-11-29,76.59121267915809
2020-11-28,82.67446478212209
2020-11-27,73.30950575833062
2020-11-26,72.21199321275137
2020-11-25,82.73583883894726
2020-11-24,80.15451821365392
2020-11-23,75.87638542907686
2020-11-22,72.93404094010614
2020-11-21,74.80053431531825
2020-11-20,71.85457958771075
2020-11-19,70.93757897397018
2020-11-18,68.92306581465034
2020-11-17,65.89046535976027
2020-11-16,66.43561139391313
2020-11-15,64.51496443914942
2020-11-14,66.62334380302538
2020-11-13,56.34499440413011
2020-11-12,53.49651611971551
2020-11-11,52.57229502870139
2020-11-10,49.2111628578649
2020-11-09,47.87176432362179
2020-11-08,43.85356872089245
2020-11-07,32.4524351059605
2020-11-06,37.02660745875302
2020-11-05,34.94711000397126
2020-11-04,31.12025704899094
2020-11-03,29.304307014693673
2020-11-02,28.14542041228925
2020-11-01,26.625509946207448
2020-10-31,25.54965883244883
2020-10-30,27.57861294631575
2020-10-29,27.8349398895267
2020-10-28,29.954149969312972
2020-10-27,31.990324560453445
2020-10-26,33.6690855265533
2020-10-25,34.069822015235204
2020-10-24,33.14921116285786
2020-10-23,30.86031986714322
2020-10-22,31.217733492183832
2020-10-21,29.74836636701686
2020-10-20,29.080472219213693
2020-10-19,28.481172605509226
2020-10-18,28.564208094155028
2020-10-17,28.455900935051805
2020-10-16,29.676161594281382
2020-10-15,29.863894003393625
2020-10-14,29.83140185566266
2020-10-13,29.41261417379689
2020-10-12,29.611177298819452
2020-10-11,29.134625798765303
2020-10-10,28.423408787320845
2020-10-09,27.18148669627062
2020-10-08,25.975666991588138
2020-10-07,25.82403696884364
2020-10-06,25.73017076428752
2020-10-05,24.50629986642117
2020-10-04,28.185133037293763
2020-10-03,26.130907252969422
2020-10-02,25.41246976425142
2020-10-01,25.72295028701397
2020-09-30,25.40885952561464
2020-09-29,25.802375537022993
2020-09-28,26.304198707534567
2020-09-27,24.199429582295387
2020-09-26,27.8204989349796
2020-09-25,28.712227878262752
2020-09-24,28.614751435069856
2020-09-23,28.43784974186794
2020-09-22,28.008231344091843
2020-09-21,27.74468392360735
2020-09-20,26.90710855987581
2020-09-19,25.79515505974945
2020-09-18,25.000902559659192
2020-09-17,23.89255929816961
2020-09-16,22.943066536698076
2020-09-15,22.60370410484133
2020-09-14,21.672262536553667
2020-09-13,20.74804144553955
2020-09-12,19.755225820426734
2020-09-11,20.22455684320733
2020-09-10,20.48088378641828
2020-09-09,20.97909671829308
2020-09-08,20.412289252319574
2020-09-07,19.809379399978337
2020-09-06,20.170403263655725
2020-09-05,21.062132206938877
2020-09-04,20.867179320553085
2020-09-03,19.773277013610596
2020-09-02,19.06206000216614
2020-09-01,18.870717354417128
2020-08-31,18.812953536228743
2020-08-30,17.527708581537237
2020-08-29,17.163074479223077
2020-08-28,16.29661720639734
2020-08-27,17.621574786093362
2020-08-26,17.744322899743675
2020-08-25,17.495216433806277
2020-08-24,17.36885808151919
2020-08-23,17.412180945160475
2020-08-22,17.33275569515145
2020-08-21,17.506047149716597
2020-08-20,16.484349615509586
2020-08-19,16.33632983140186
2020-08-18,16.599877251886348
2020-08-17,17.141413047402434
2020-08-16,17.2424997292321
2020-08-15,17.033105888299215
2020-08-14,16.7587277519044
2020-08-13,16.975342070110834
2020-08-12,17.451893570164987
2020-08-11,19.007906422614532
2020-08-10,19.354489331744826
2020-08-09,19.28228455900935
2020-08-08,19.311166468103544
2020-08-07,20.823856456911802
2020-08-06,20.437560922777
2020-08-05,21.448427741073687
2020-08-04,20.535037365969888
2020-08-03,21.358171775154336
2020-08-02,25.0550561392108
2020-08-01,27.618325571320266
2020-07-31,26.611068991660346
2020-07-30,28.055164446369904
2020-07-29,26.434167298458426
2020-07-28,26.89266760532871
2020-07-27,26.185060832521028
2020-07-26,21.733636593378826
2020-07-25,18.1414491497888
2020-07-24,17.964547456586878
2020-07-23,16.34716054731218
2020-07-22,16.20275100184122
2020-07-21,16.563774865518614
2020-07-20,16.924798729196002
2020-07-19,18.15950034297267
2020-07-18,19.051229286255822
2020-07-17,18.2244846384346
2020-07-16,17.852630058846888
2020-07-15,17.76237409292754
2020-07-14,16.311058160944437
2020-07-13,15.823675944979964
2020-07-12,15.549297808585148
2020-07-11,14.924726524423264
2020-07-10,14.53843099028846
2020-07-09,14.285714285714288
2020-07-08,13.650312285642082
2020-07-07,12.502256399147983
2020-07-06,11.516661251308713
2020-07-05,10.772952092133291
2020-07-04,10.841546626231993
2020-07-03,9.82706956929853
2020-07-02,9.354128307881151
2020-07-01,9.393840932885665
2020-06-30,9.852341239755948
2020-06-29,8.80537203509152
2020-06-28,8.76926964872378
2020-06-27,9.404671648795984
2020-06-26,9.520199285172751
2020-06-25,9.364959023791473
2020-06-24,9.408281887432759
2020-06-23,8.60319867143218
2020-06-22,8.36131268276833
2020-06-21,8.245785046391566
2020-06-20,7.090508682623921
2020-06-19,6.707823387125889
2020-06-18,6.238492364345284
2020-06-17,5.14097981876602
2020-06-16,4.6283259323441275
2020-06-15,4.375609227769956
2020-06-14,3.9026679663525754
2020-06-13,3.862955341348063
2020-06-12,3.3972345572042313
2020-06-11,2.595761579840427
2020-06-10,2.436911079822376
2020-06-09,2.42247012527528
2020-06-08,2.281670818441099
2020-06-07,2.3249936820823858
2020-06-06,2.111989602512726
2020-06-05,2.054225784324344
2020-06-04,2.299722011624968
2020-06-03,2.079497454781761
2020-06-02,2.0036824434095095
2020-06-01,1.7437452615617894
2020-05-31,1.6932019206469549
2020-05-30,1.653489295642442
2020-05-29,1.7654066933824326
2020-05-28,2.1300407956965954
2020-05-27,2.5163363298314017
2020-05-26,2.339434636629481
2020-05-25,2.4982851366475325
2020-05-24,2.6246434889346184
2020-05-23,2.610202534387523
2020-05-22,2.7546120798584783
2020-05-21,2.5921513412036536
2020-05-20,2.4549622730062457
2020-05-19,2.7329506480378356
2020-05-18,2.834037329867505
2020-05-17,2.6029820571139752
2020-05-16,2.696848261670096
2020-05-15,2.3899779775443157
2020-05-14,2.281670818441099
2020-05-13,2.350265352539803
2020-05-12,2.184194375248204
2020-05-11,2.054225784324344
2020-05-10,2.2275172388894906
2020-05-09,2.3069424888985166
2020-05-08,2.44052131845915
2020-05-07,2.57048990938301
2020-05-06,2.628253727571393
2020-05-05,2.5885411025668796
2020-05-04,2.758222318495253
2020-05-03,2.5957615798404277
2020-05-02,2.37553702299722
2020-05-01,2.2636196252572294
2020-04-30,2.169753420701108
2020-04-29,2.0903281706920827
2020-04-28,2.1769738979746562
2020-04-27,2.1661431820643346
2020-04-26,2.3610960684501245
2020-04-25,2.249178670710134
2020-04-24,2.3683165457236726
2020-04-23,2.382757500270768
2020-04-22,2.278060579804325
2020-04-21,2.2491786707101338
2020-04-20,2.205855807068847
2020-04-19,2.270840102530777
2020-04-18,2.5343875230152713
2020-04-17,2.422470125275281
2020-04-16,2.4296906025488285
2020-04-15,2.667966352575905
