Date,"(7 day moving average) Case increases(per 100,000)"
2020-12-14,52.20345207491737
2020-12-13,50.92398090341535
2020-12-12,50.562614763128906
2020-12-11,50.29232464193904
2020-12-10,50.78883584282041
2020-12-09,50.55159750275431
2020-12-08,49.35659199412413
2020-12-07,47.85089974293059
2020-12-06,47.49614395886889
2020-12-05,45.308116048475945
2020-12-04,41.85751009915534
2020-12-03,39.58428204186559
2020-12-02,37.438119720896076
2020-12-01,35.44913698127066
2020-11-30,33.68343738523687
2020-11-29,33.012853470437015
2020-11-28,32.035255233198676
2020-11-27,31.96841718692619
2020-11-26,29.979434447300772
2020-11-25,28.787366874770473
2020-11-24,28.074182886522216
2020-11-23,28.226221079691516
2020-11-22,26.451707675358062
2020-11-21,25.17150201983107
2020-11-20,24.742563349247153
2020-11-19,24.693352919574
2020-11-18,24.316562614763125
2020-11-17,23.968417186926185
2020-11-16,23.143591626882117
2020-11-15,22.889460154241647
2020-11-14,22.727139184722734
2020-11-13,21.404333455747338
2020-11-12,19.79434447300771
2020-11-11,18.472273228057286
2020-11-10,16.493573264781492
2020-11-09,15.286081527726774
2020-11-08,14.176276165993388
2020-11-07,13.314726404700698
2020-11-06,12.18508997429306
2020-11-05,11.484392214469336
2020-11-04,11.118619170033051
2020-11-03,11.048843187660667
2020-11-02,10.806463459419756
2020-11-01,10.481821520381931
2020-10-31,10.024237972824093
2020-10-30,10.033051781123762
2020-10-29,9.579140653690782
2020-10-28,8.939405067939772
2020-10-27,8.93573264781491
2020-10-26,8.355490268086669
2020-10-25,8.213734851266985
2020-10-24,8.03598971722365
2020-10-23,7.83253764230628
2020-10-22,7.883951524054352
2020-10-21,7.760558207858979
2020-10-20,7.177377892030849
2020-10-19,7.31839882482556
2020-10-18,7.341167829599706
2020-10-17,7.1597502754315085
2020-10-16,6.912229159015792
2020-10-15,6.827763496143959
2020-10-14,7.103929489533603
2020-10-13,7.197943444730077
2020-10-12,7.197943444730078
2020-10-11,7.127432978332721
2020-10-10,7.1854572163055455
2020-10-09,7.394050679397723
2020-10-08,7.398457583547557
2020-10-07,7.065001836210063
2020-10-06,6.800587587219978
2020-10-05,6.650752846125597
2020-10-04,6.578038927653323
2020-10-03,6.316562614763128
2020-10-02,5.783327212633126
2020-10-01,5.276533235402129
2020-09-30,4.962908556738891
2020-09-29,4.716856408373118
2020-09-28,4.3973558575100995
2020-09-27,4.205655526992288
2020-09-26,4.202717590892398
2020-09-25,4.188762394417922
2020-09-24,4.1020932794711715
2020-09-23,4.058758721997796
2020-09-22,4.049210429673154
2020-09-21,4.058024237972824
2020-09-20,4.065369078222548
2020-09-19,3.9647447668013216
2020-09-18,3.8641204553800956
2020-09-17,3.9302240176276166
2020-09-16,3.828130738156445
2020-09-15,3.7723099522585386
2020-09-14,3.6188027910392946
2020-09-13,3.5725302974660305
2020-09-12,3.5754682335659203
2020-09-11,3.540213000367242
2020-09-10,3.528461255967683
2020-09-09,3.625413147264047
2020-09-08,3.7223650385604112
2020-09-07,3.8670583914799854
2020-09-06,3.9669482188762397
2020-09-05,3.9441792141020935
2020-09-04,3.8222548659566655
2020-09-03,3.6547925082629455
2020-09-02,3.5828130738156445
2020-09-01,3.478516342269556
2020-08-31,3.3867058391479987
2020-08-30,3.20455380095483
2020-08-29,3.1120088138083006
2020-08-28,3.125229526257804
2020-08-27,3.178846860080793
2020-08-26,3.039294895336026
2020-08-25,3.0870363569592363
2020-08-24,3.10613294160852
2020-08-23,3.10613294160852
2020-08-22,3.1318398824825557
2020-08-21,3.1913330885053246
2020-08-20,3.2045538009548293
2020-08-19,3.3044436283510836
2020-08-18,3.355123026074183
2020-08-17,3.3639368343738525
2020-08-16,3.41388174807198
2020-08-15,3.3463092177745137
2020-08-14,3.3235402130003675
2020-08-13,3.3139919206757256
2020-08-12,3.2890194638266617
2020-08-11,3.242012486228425
2020-08-10,3.3000367242012487
2020-08-09,3.3507161219243478
2020-08-08,3.362467866323907
2020-08-07,3.3991920675725305
2020-08-06,3.347778185824459
2020-08-05,3.4021300036724207
2020-08-04,3.4601542416452444
2020-08-03,3.304443628351083
2020-08-02,3.3507161219243478
2020-08-01,3.35438854204921
2020-07-31,3.352185089974293
2020-07-30,3.432243848696291
2020-07-29,3.4572163055453546
2020-07-28,3.4498714652956295
2020-07-27,3.685640837311788
2020-07-26,3.6202717590892397
2020-07-25,3.5952993022401762
2020-07-24,3.598237238340066
2020-07-23,3.6151303709144327
2020-07-22,3.584282041865589
2020-07-21,3.676827029012119
2020-07-20,3.7186926184355493
2020-07-19,3.746603011384502
2020-07-18,3.8751377157546822
2020-07-17,3.8575100991553435
2020-07-16,3.864854939405068
2020-07-15,3.7289753947851634
2020-07-14,3.626882115313992
2020-07-13,3.3889092912229155
2020-07-12,3.36026441424899
2020-07-11,3.2544987146529563
2020-07-10,3.2515607785530665
2020-07-09,3.348512669849431
2020-07-08,3.5622475211164155
2020-07-07,3.513037091443261
2020-07-06,3.4660301138450236
2020-07-05,3.372750642673522
2020-07-04,3.433712816746236
2020-07-03,3.41681968417187
2020-07-02,3.333822989349982
2020-07-01,3.2412780022034515
2020-06-30,3.2089607051046642
2020-06-29,3.262578038927653
2020-06-28,3.380829966948219
2020-06-27,3.4160852001468966
2020-06-26,3.4256334924715395
2020-06-25,3.419023136246786
2020-06-24,3.322805728975395
2020-06-23,3.31252295262578
2020-06-22,3.3374954094748435
2020-06-21,3.387440323172971
2020-06-20,3.4094748439221445
2020-06-19,3.5563716489166355
2020-06-18,3.5754682335659203
2020-06-17,3.6621373485126694
2020-06-16,3.740727139184723
2020-06-15,3.7789203084832907
2020-06-14,3.8391479985310317
2020-06-13,3.9030481087036355
2020-06-12,4.044069041498347
2020-06-11,4.229893499816378
