Date,"(7 day moving average) Case increases(per 100,000)"
2020-12-14,47.68866995073891
2020-12-13,47.97931034482759
2020-12-12,48.97980295566503
2020-12-11,48.00985221674877
2020-12-10,49.16502463054188
2020-12-09,50.274876847290635
2020-12-08,53.04137931034483
2020-12-07,52.4
2020-12-06,53.50049261083744
2020-12-05,51.86009852216749
2020-12-04,46.901477832512306
2020-12-03,40.59162561576354
2020-12-02,39.18522167487685
2020-12-01,38.98275862068965
2020-11-30,38.01724137931034
2020-11-29,36.00541871921182
2020-11-28,37.3448275862069
2020-11-27,42.56502463054187
2020-11-26,47.39655172413793
2020-11-25,47.18571428571429
2020-11-24,43.33152709359605
2020-11-23,41.885221674876846
2020-11-22,41.977339901477826
2020-11-21,41.0679802955665
2020-11-20,39.333497536945806
2020-11-19,39.15073891625615
2020-11-18,37.337931034482764
2020-11-17,38.41133004926108
2020-11-16,38.06206896551725
2020-11-15,36.594581280788184
2020-11-14,36.07980295566502
2020-11-13,35.172906403940885
2020-11-12,33.11133004926108
2020-11-11,32.905418719211816
2020-11-10,31.255665024630538
2020-11-09,30.137438423645325
2020-11-08,30.435960591133007
2020-11-07,62.38472906403941
2020-11-06,61.19507389162562
2020-11-05,59.91034482758621
2020-11-04,58.262561576354685
2020-11-03,56.19852216748768
2020-11-02,54.53694581280787
2020-11-01,54.16502463054187
2020-10-31,20.948275862068964
2020-10-30,20.630049261083748
2020-10-29,20.55172413793104
2020-10-28,20.288177339901477
2020-10-27,20.103448275862068
2020-10-26,20.395073891625618
2020-10-25,19.012807881773398
2020-10-24,18.476847290640393
2020-10-23,17.68177339901478
2020-10-22,17.38522167487685
2020-10-21,16.614285714285714
2020-10-20,16.404433497536946
2020-10-19,15.047783251231527
2020-10-18,15.419211822660099
2020-10-17,15.026108374384238
2020-10-16,14.70344827586207
2020-10-15,13.8
2020-10-14,13.559605911330049
2020-10-13,13.212315270935962
2020-10-12,12.720689655172412
2020-10-11,13.095566502463054
2020-10-10,13.325123152709358
2020-10-09,14.692610837438423
2020-10-08,14.430049261083747
2020-10-07,14.083251231527095
2020-10-06,14.85270935960591
2020-10-05,14.818226600985222
2020-10-04,15.153694581280787
2020-10-03,14.567487684729064
2020-10-02,13.523152709359607
2020-10-01,14.079802955665027
2020-09-30,14.466995073891626
2020-09-29,13.3384236453202
2020-09-28,20.115763546798032
2020-09-27,22.954679802955667
2020-09-26,23.334975369458128
2020-09-25,22.813300492610836
2020-09-24,22.216748768472907
2020-09-23,22.082266009852216
2020-09-22,23.379802955665024
2020-09-21,17.233004926108375
2020-09-20,14.334975369458126
2020-09-19,14.029064039408867
2020-09-18,14.229064039408867
2020-09-17,14.290640394088667
2020-09-16,14.276354679802953
2020-09-15,13.278325123152708
2020-09-14,11.346798029556652
2020-09-13,10.405911330049262
2020-09-12,10.972413793103447
2020-09-11,11.09704433497537
2020-09-10,12.05024630541872
2020-09-09,11.883743842364533
2020-09-08,12.048275862068966
2020-09-07,13.498029556650247
2020-09-06,13.771428571428572
2020-09-05,14.179802955665025
2020-09-04,14.31576354679803
2020-09-03,13.600985221674877
2020-09-02,14.546798029556651
2020-09-01,15.07536945812808
2020-08-31,16.051724137931036
2020-08-30,16.16600985221675
2020-08-29,16.448768472906405
2020-08-28,16.841379310344827
2020-08-27,17.329064039408866
2020-08-26,17.182758620689658
2020-08-25,17.979310344827585
2020-08-24,18.44039408866995
2020-08-23,20.933497536945815
2020-08-22,21.823152709359608
2020-08-21,23.146305418719212
2020-08-20,24.13004926108374
2020-08-19,24.845320197044337
2020-08-18,24.439408866995077
2020-08-17,25.68128078817734
2020-08-16,23.980295566502463
2020-08-15,23.327586206896548
2020-08-14,22.694088669950737
2020-08-13,22.704433497536943
2020-08-12,23.119704433497535
2020-08-11,24.354187192118225
2020-08-10,24.04088669950739
2020-08-09,24.458620689655174
2020-08-08,25.12216748768473
2020-08-07,26.393103448275863
2020-08-06,27.279802955665023
2020-08-05,27.87192118226601
2020-08-04,28.03743842364532
2020-08-03,27.631034482758622
2020-08-02,27.120689655172413
2020-08-01,26.915763546798026
2020-07-31,25.182266009852217
2020-07-30,25.114285714285717
2020-07-29,25.462561576354684
2020-07-28,25.874876847290643
2020-07-27,26.349261083743844
2020-07-26,27.894581280788174
2020-07-25,28.628571428571433
2020-07-24,30.666995073891627
2020-07-23,33.728571428571435
2020-07-22,34.114778325123154
2020-07-21,34.564039408866996
2020-07-20,33.55714285714286
2020-07-19,32.69556650246305
2020-07-18,33.13694581280788
2020-07-17,33.232019704433505
2020-07-16,30.694581280788174
2020-07-15,30.443842364532014
2020-07-14,30.04384236453202
2020-07-13,31.406896551724138
2020-07-12,31.24088669950739
2020-07-11,28.90246305418719
2020-07-10,27.87142857142857
2020-07-09,26.782758620689656
2020-07-08,25.86305418719212
2020-07-07,24.925615763546798
2020-07-06,23.421674876847295
2020-07-05,22.914285714285715
2020-07-04,23.85418719211823
2020-07-03,22.614778325123154
2020-07-02,21.704433497536947
2020-07-01,20.75911330049261
2020-06-30,19.51527093596059
2020-06-29,18.783251231527093
2020-06-28,18.286699507389162
2020-06-27,17.552216748768476
2020-06-26,16.90591133004926
2020-06-25,15.796059113300492
2020-06-24,14.574384236453202
2020-06-23,13.381280788177339
2020-06-22,12.696059113300493
2020-06-21,11.698029556650246
2020-06-20,10.701477832512314
2020-06-19,9.667487684729066
2020-06-18,8.999014778325124
2020-06-17,8.166502463054188
2020-06-16,7.858620689655173
2020-06-15,6.646305418719211
2020-06-14,6.3428571428571425
2020-06-13,6.136945812807882
