Date,"Case increase (per 100,000)"
2020-12-14,0.02099
2020-12-13,0.04332
2020-12-12,0.03983
2020-12-11,0.039
2020-12-10,0.0246
2020-12-09,0.02307
2020-12-08,0.02297
2020-12-07,0.01903
2020-12-06,0.03241
2020-12-05,0.0437
2020-12-04,0.04827
2020-12-03,0.01707
2020-12-02,0.02859
2020-12-01,0.01737
2020-11-30,0.022
2020-11-29,0.01721
2020-11-28,0.06257
2020-11-27,0.03225
2020-11-26,0.0
2020-11-25,0.03732
2020-11-24,0.02736
2020-11-23,0.03544
2020-11-22,0.03406
2020-11-21,0.03663
2020-11-20,0.02921
2020-11-19,0.02915
2020-11-18,0.03017
2020-11-17,0.01551
2020-11-16,0.02729
2020-11-15,0.03923
2020-11-14,0.02847
2020-11-13,0.02667
2020-11-12,0.02357
2020-11-11,0.02177
2020-11-10,0.01702
2020-11-09,0.02197
2020-11-08,0.04507
2020-11-07,0.0
2020-11-06,0.01878
2020-11-05,0.02101
2020-11-04,0.01246
2020-11-03,0.01331
2020-11-02,0.01084
2020-11-01,0.01349
2020-10-31,0.01267
2020-10-30,0.01302
2020-10-29,0.01041
2020-10-28,0.00743
2020-10-27,0.0101
2020-10-26,0.00663
2020-10-25,0.01051
2020-10-24,0.01829
2020-10-23,0.01373
2020-10-22,0.01628
2020-10-21,0.01307
2020-10-20,0.01475
2020-10-19,0.00774
2020-10-18,0.00796
2020-10-17,0.01195
2020-10-16,0.01472
2020-10-15,0.01221
2020-10-14,0.01122
2020-10-13,0.01309
2020-10-12,0.00797
2020-10-11,0.00766
2020-10-10,0.01533
2020-10-09,0.01524
2020-10-08,0.01212
2020-10-07,0.01006
2020-10-06,0.01364
2020-10-05,0.00665
2020-10-04,0.00569
2020-10-03,0.01189
2020-10-02,0.0119
2020-10-01,0.0117
2020-09-30,0.0098
2020-09-29,0.01025
2020-09-28,0.01684
2020-09-27,0.0
2020-09-26,0.0099
2020-09-25,0.01276
2020-09-24,0.01083
2020-09-23,0.01089
2020-09-22,0.01164
2020-09-21,0.01101
2020-09-20,0.01003
2020-09-19,0.01237
2020-09-18,0.01249
2020-09-17,0.01034
2020-09-16,0.0097
2020-09-15,0.01091
2020-09-14,0.00869
2020-09-13,0.00695
2020-09-12,0.01017
2020-09-11,0.00942
2020-09-10,0.00771
2020-09-09,0.00876
2020-09-08,0.00833
2020-09-07,0.00613
2020-09-06,0.0042
2020-09-05,0.01147
2020-09-04,0.01013
2020-09-03,0.00909
2020-09-02,0.00719
2020-09-01,0.00666
2020-08-31,0.00713
2020-08-30,0.00667
2020-08-29,0.01093
2020-08-28,0.0071
2020-08-27,0.00712
2020-08-26,0.00666
2020-08-25,0.0065
2020-08-24,0.00357
2020-08-23,0.00566
2020-08-22,0.00853
2020-08-21,0.01077
2020-08-20,0.00746
2020-08-19,0.00597
2020-08-18,0.00615
2020-08-17,0.00369
2020-08-16,0.00544
2020-08-15,0.00901
2020-08-14,0.00794
2020-08-13,0.00705
2020-08-12,0.0067
2020-08-11,0.00765
2020-08-10,0.00397
2020-08-09,0.00486
2020-08-08,0.00825
2020-08-07,0.00854
2020-08-06,0.00837
2020-08-05,0.01101
2020-08-04,0.00861
2020-08-03,0.00377
2020-08-02,0.00494
2020-08-01,0.01244
2020-07-31,0.00747
2020-07-30,0.01117
2020-07-29,0.00848
2020-07-28,0.01089
2020-07-27,0.01401
2020-07-26,0.01204
2020-07-25,0.00965
2020-07-24,0.01147
2020-07-23,0.00668
2020-07-22,0.00975
2020-07-21,0.00893
2020-07-20,0.00168
2020-07-19,0.00209
2020-07-18,0.00916
2020-07-17,0.00699
2020-07-16,0.00628
2020-07-15,0.01075
2020-07-14,0.00993
2020-07-13,0.0051
2020-07-12,0.00456
2020-07-11,0.00687
2020-07-10,0.00596
2020-07-09,0.00603
2020-07-08,0.00673
2020-07-07,0.00858
2020-07-06,0.00434
2020-07-05,0.00283
2020-07-04,0.0058
2020-07-03,0.00526
2020-07-02,0.00427
2020-07-01,0.00355
2020-06-30,0.00585
2020-06-29,0.00228
2020-06-28,0.00302
2020-06-27,0.00299
2020-06-26,0.00395
2020-06-25,0.00438
2020-06-24,0.00482
2020-06-23,0.00295
2020-06-22,0.00218
2020-06-21,0.00478
2020-06-20,0.00331
2020-06-19,0.00352
2020-06-18,0.0045
2020-06-17,0.00259
2020-06-16,0.00228
2020-06-15,0.00186
2020-06-14,0.00158
2020-06-13,0.00225
2020-06-12,0.00222
2020-06-11,0.00146
2020-06-10,0.00117
2020-06-09,0.00158
2020-06-08,0.00055
2020-06-07,0.00147
2020-06-06,0.00096
2020-06-05,0.0
2020-06-04,0.00102
2020-06-03,0.00113
2020-06-02,0.00119
2020-06-01,0.00067
2020-05-31,0.00088
2020-05-30,0.0008
2020-05-29,0.00068
2020-05-28,0.00041
2020-05-27,0.00092
2020-05-26,0.00047
2020-05-25,0.00053
2020-05-24,0.00077
2020-05-23,0.00111
2020-05-22,0.00169
2020-05-21,0.00148
2020-05-20,0.00043
2020-05-19,0.00091
2020-05-18,0.00088
2020-05-17,0.00073
2020-05-16,0.00151
2020-05-15,0.00124
2020-05-14,0.0011
2020-05-13,0.0012
2020-05-12,0.00119
2020-05-11,0.00024
2020-05-10,0.00099
2020-05-09,0.00066
2020-05-08,0.00094
2020-05-07,0.00129
2020-05-06,0.00074
2020-05-05,0.00083
2020-05-04,0.00072
2020-05-03,0.00121
2020-05-02,0.00103
2020-05-01,0.0013
2020-04-30,0.00145
2020-04-29,0.00063
2020-04-28,0.0013
2020-04-27,0.00027
2020-04-26,0.0006
2020-04-25,0.00072
2020-04-24,0.00104
2020-04-23,0.00123
2020-04-22,0.00087
2020-04-21,0.00127
2020-04-20,0.00081
2020-04-19,0.00029
2020-04-18,0.00105
2020-04-17,0.00108
2020-04-16,0.00094
2020-04-15,0.00079
2020-04-14,0.00115
2020-04-13,0.00099
2020-04-12,0.00102
2020-04-11,0.00074
2020-04-10,0.0011
2020-04-09,0.0016
2020-04-08,0.00052
2020-04-07,0.00145
2020-04-06,0.00075
2020-04-05,0.00093
2020-04-04,0.00171
2020-04-03,0.00109
2020-04-02,0.0016
2020-04-01,0.00154
2020-03-31,0.00084
2020-03-30,0.00052
2020-03-29,0.00052
2020-03-28,0.00055
2020-03-27,0.00074
2020-03-26,0.00084
2020-03-25,0.00058
2020-03-24,0.00025
2020-03-23,0.00014
2020-03-22,0.00014
2020-03-21,4e-05
2020-03-20,5e-05
2020-03-19,0.00015
2020-03-18,0.00012
2020-03-17,7e-05
2020-03-16,1e-05
2020-03-15,5e-05
2020-03-14,1e-05
2020-03-13,0.0
2020-03-12,1e-05
2020-03-11,0.0
2020-03-10,1e-05
2020-03-09,0.0
2020-03-08,0.0
2020-03-07,0.0
