Date,"Case increase (per 100,000)"
2020-03-24,0.0479
2020-03-23,0.05707
2020-03-22,0.04812
2020-03-21,0.03254
2020-03-20,0.0295
2020-03-19,0.01769
2020-03-18,0.01009
2020-03-17,0.00432
2020-03-16,0.00294
2020-03-15,0.00131
2020-03-14,0.00164
2020-03-13,0.00102
2020-03-12,0.00056
2020-03-11,0.00044
2020-03-10,0.00063
2020-03-09,0.00028
2020-03-08,0.00024
2020-03-07,0.00011
2020-03-06,0.00022
2020-03-05,2e-05
2020-03-04,0.0
2020-03-03,1e-05
2020-03-02,0.0
