Date,"Case increase (per 100,000)"
2020-03-24,0.00369
2020-03-23,0.00197
2020-03-22,0.00257
2020-03-21,0.00216
2020-03-20,0.00139
2020-03-19,0.00313
2020-03-18,0.00128
2020-03-17,0.00148
2020-03-16,0.00042
2020-03-15,0.00041
2020-03-14,0.0005
2020-03-13,0.0
2020-03-12,0.00045
2020-03-11,0.00024
2020-03-10,0.00019
2020-03-09,0.00026
2020-03-08,0.00019
2020-03-07,9e-05
2020-03-06,7e-05
2020-03-05,0.0
2020-03-04,0.0
